category,title,date,source,link
conference_abstracts,"Data Demonstrates Safety, Efficacy of Abbott's Ablation Catheters for Treating Atrial Fibrillation - Diagnostic and Interventional Cardiology",2026-02-06,Google News: atrial fibrillation (7d) · Match: Abbott,
conference_abstracts,Argá Medtech Reports Clinical Results of First-in-Human BURST-AF Trial of Single-Catheter PFA System - Diagnostic and Interventional Cardiology,2026-02-09,Google News: atrial fibrillation (7d) · Match: Argá Medtech,
conference_abstracts,Abbott initiates UK pilot of Volt PFA system - Medical Device Network,2026-02-12,Google News: atrial fibrillation (7d) · Match: Abbott,
conference_abstracts,Argá Medtech reports 94% lesion durability and “strong safety profile” with single-catheter PFA system - Cardiac Rhythm News,2026-02-11,Google News: atrial fibrillation (7d) · Match: Argá Medtech,
conference_abstracts,Abbott reports positive VERITAS study results for AFib - Medical Device Network,2026-02-09,Google News: atrial fibrillation (7d) · Match: Abbott,
conference_abstracts,Argá Medtech Reports 94% Lesion Durability and Strong Safety Profile in First-in-Human BURST-AF Trial of Single-Catheter PFA System - The Manila Times,2026-02-09,Google News: AF Symposium (7d) · Match: Argá Medtech,
conference_abstracts,Boston Scientific Farapulse PFA outperforms thermal ablation in study - massdevice.com,2026-02-10,Google News: atrial fibrillation (7d) · Match: Boston Scientific,
conference_abstracts,Abbott stock price: Insider buy and fresh AFib data put ABT back on watch for Monday - TechStock²,2026-02-08,Google News: atrial fibrillation (7d) · Match: Abbott,
conference_abstracts,Abbott stock rises on AFib device data buzz as traders weigh FDA overhang - Bez Kabli,2026-02-10,Google News: atrial fibrillation (7d) · Match: Abbott,
press_pipeline,NHS hospitals pilot Abbott Volt PFA system - Med-Tech Insights,2026-02-13,Google News: AFib watchlist 8 · Match: Abbott,
press_pipeline,Boston Scientific Farapulse PFA outperforms thermal ablation in study - massdevice.com,2026-02-09,Google News: AFib watchlist 8 · Match: Boston Scientific,
press_pipeline,Abbott initiates UK pilot of Volt PFA system - Medical Device Network,2026-02-12,Google News: AFib watchlist 8 · Match: Abbott,
press_pipeline,Late-breaking data show positive safety outcomes and closure rates for new Abbott device designed to reduce stroke risk in non-valvular AFib patients,2026-02-06,Abbott MediaRoom (Press Releases) · Match: Abbott,
conference_abstracts,Argá Medtech reports 94% lesion durability and strong safety profile in PFA trial - Health Tech World,2026-02-12,Google News: atrial fibrillation (7d) · Match: Argá Medtech,
press_pipeline,Argá Medtech reports 94% lesion durability and “strong safety profile” with single-catheter PFA system - Cardiac Rhythm News,2026-02-11,Google News: AFib watchlist 13 · Match: Argá Medtech,
press_pipeline,Argá Medtech Reports Clinical Results of First-in-Human BURST-AF Trial of Single-Catheter PFA System - Diagnostic and Interventional Cardiology,2026-02-09,Google News: AFib watchlist 13 · Match: Argá Medtech,
press_pipeline,Argá Medtech data supports single-catheter PFA system - massdevice.com,2026-02-10,Google News: AFib watchlist 13 · Match: Argá Medtech,
conference_abstracts,Abbott Reports Strong Results for Amulet 360 LAA Occlusion Device - Medical Product Outsourcing,2026-02-09,Google News: atrial fibrillation (7d) · Match: Abbott,
